Feature,Importance
squareness,0.29403606
perimeter_wall,0.0918205
mean_interbuilding_distance,0.06798603
adjacency,0.063694894
rect_idx,0.061480332
facade_ratio,0.053006988
shared_walls,0.03271977
area,0.03159041
corners,0.029919662
perimeter,0.026274104
rectangularity,0.02585655
avg_weighted_dist,0.024352165
cell_alignment,0.019719614
compact_weighted_axis,0.018148754
neighbour_dist,0.017702
tes_area,0.01644846
convexity,0.015904145
cwa,0.015872285
lal,0.015429559
CAR,0.015335875
shape_idx,0.014126421
square_compact,0.013651695
fractal,0.013192539
num_neighbors,0.01152559
elongation,0.01020548
