Feature,Importance
lal,0.21284588
mean_interbuilding_distance,0.1753532
adjacency,0.08016042
squareness,0.06310478
perimeter_wall,0.061490778
avg_weighted_dist,0.06115668
compact_weighted_axis,0.028044123
CAR,0.024580281
neighbour_dist,0.021886755
elongation,0.021813681
shared_walls,0.02029679
area,0.020076886
convexity,0.018616555
cell_alignment,0.018415323
tes_area,0.018252164
corners,0.017598568
perimeter,0.016783396
facade_ratio,0.016698673
fractal,0.016048893
cwa,0.015920538
rectangularity,0.015368906
num_neighbors,0.01509287
shape_idx,0.015068816
rect_idx,0.014068123
square_compact,0.011256948
