Feature,Importance
adjacency,0.14755987
mean_interbuilding_distance,0.12137273
perimeter_wall,0.07399743
squareness,0.05740633
avg_weighted_dist,0.052168567
shared_walls,0.041593123
facade_ratio,0.040175907
perimeter,0.038970813
lal,0.035899214
cwa,0.035687763
rectangularity,0.033675067
tes_area,0.032546706
area,0.032366138
neighbour_dist,0.028417831
cell_alignment,0.027998712
corners,0.025298415
elongation,0.023544282
CAR,0.022249512
num_neighbors,0.021429291
convexity,0.019957546
compact_weighted_axis,0.019941403
fractal,0.01983074
shape_idx,0.01763146
square_compact,0.015238902
rect_idx,0.015042247
