Feature,Importance
adjacency,0.09031989
perimeter_wall,0.08800876
facade_ratio,0.071784206
squareness,0.07064508
mean_interbuilding_distance,0.06580046
area,0.061276484
avg_weighted_dist,0.049228545
lal,0.04200663
elongation,0.041112464
tes_area,0.033897597
perimeter,0.030019816
convexity,0.029456776
square_compact,0.029027272
num_neighbors,0.027822703
rectangularity,0.027424872
CAR,0.026993575
neighbour_dist,0.026834518
fractal,0.026348319
cwa,0.026079014
shared_walls,0.025713267
cell_alignment,0.024853583
compact_weighted_axis,0.024265232
corners,0.021759028
shape_idx,0.020289056
rect_idx,0.019032799
