Feature,Importance
mean_interbuilding_distance,0.30033213
avg_weighted_dist,0.10130817
squareness,0.053669784
perimeter_wall,0.05143746
area,0.044725742
adjacency,0.044395864
lal,0.040508535
perimeter,0.034914214
num_neighbors,0.028175686
cwa,0.027625874
CAR,0.027354363
facade_ratio,0.027120013
tes_area,0.024660686
shared_walls,0.023191065
rectangularity,0.021446643
compact_weighted_axis,0.021317862
convexity,0.019730948
neighbour_dist,0.01949498
cell_alignment,0.016236015
rect_idx,0.014266055
square_compact,0.013263353
elongation,0.013100541
shape_idx,0.012297489
fractal,0.010298938
corners,0.00912764
