Feature,Importance
mean_interbuilding_distance,0.35350373
squareness,0.080325745
adjacency,0.072115734
avg_weighted_dist,0.052591473
perimeter,0.048850812
cwa,0.03599861
perimeter_wall,0.032092243
lal,0.03080377
compact_weighted_axis,0.025860384
area,0.023299867
corners,0.02178767
facade_ratio,0.021454275
shared_walls,0.02102778
CAR,0.020093225
tes_area,0.019937038
neighbour_dist,0.018656459
rectangularity,0.017730216
num_neighbors,0.01761408
square_compact,0.015235592
shape_idx,0.013026329
rect_idx,0.012396743
cell_alignment,0.012095655
elongation,0.011854382
fractal,0.011041463
convexity,0.010606841
