Feature,Importance
mean_interbuilding_distance,0.11509468
perimeter_wall,0.0936719
adjacency,0.0928314
squareness,0.07828031
area,0.0609471
avg_weighted_dist,0.04901097
corners,0.037441295
tes_area,0.034716304
lal,0.033605162
cell_alignment,0.032990813
cwa,0.032033842
shared_walls,0.03166053
convexity,0.030448874
CAR,0.02669147
rectangularity,0.026401997
facade_ratio,0.026309304
compact_weighted_axis,0.025062148
perimeter,0.024208395
neighbour_dist,0.023648739
fractal,0.023583723
elongation,0.02265534
num_neighbors,0.020697968
rect_idx,0.020664621
square_compact,0.019284144
shape_idx,0.018058917
