Feature,Importance
mean_interbuilding_distance,0.14747226
lal,0.110047475
facade_ratio,0.094876975
perimeter_wall,0.08021434
area,0.058620464
tes_area,0.040503457
corners,0.039778583
squareness,0.03750292
CAR,0.031071275
square_compact,0.029745301
adjacency,0.029605014
rectangularity,0.029281663
elongation,0.027734382
rect_idx,0.026049413
neighbour_dist,0.02503348
perimeter,0.024479488
cell_alignment,0.02445525
shared_walls,0.022294125
avg_weighted_dist,0.020370748
shape_idx,0.020198677
compact_weighted_axis,0.018825453
fractal,0.017330801
cwa,0.015275536
num_neighbors,0.014869857
convexity,0.01436302
