Feature,Importance
adjacency,0.3713122
mean_interbuilding_distance,0.28046206
lal,0.04882296
area,0.036219414
avg_weighted_dist,0.03437691
shared_walls,0.021385184
perimeter,0.02104269
tes_area,0.018581918
squareness,0.01800054
perimeter_wall,0.015075485
facade_ratio,0.014768116
corners,0.011706915
cwa,0.011665413
compact_weighted_axis,0.011664096
neighbour_dist,0.009830578
convexity,0.0090507455
cell_alignment,0.009039858
num_neighbors,0.008901539
rectangularity,0.008021434
CAR,0.007145781
elongation,0.0071265586
shape_idx,0.007069447
rect_idx,0.006422064
square_compact,0.0063114497
fractal,0.005996657
